Номер_групи;Назва_групи;Назва_групи_укр;Ідентифікатор_групи;Номер_батьківської_групи;Ідентифікатор_батьківської_групи;HTML_заголовок_групи;HTML_заголовок_групи_укр;HTML_опис_групи;HTML_опис_групи_укр;Опис_групи_до_списку_товарних_позицій;Опис_групи_до_списку_товарних_позицій_укр;Опис_групи_після_списку_товарних_позицій;Опис_групи_після_списку_товарних_позицій_укр;Посилання_зображення_групи
79059054;Изолят протеина;Ізолят протеїну;79059054;75771810;75771810;;;;;"<p style=""text-align:center""><span style=""font-size:16px"">Изолят протеина - это форма протеинов, которая была обработана с целью удаления из нее лишних жиров и углеводов, таким образом, в оставшемся продукте содержится высокая концентрация белка (обычно более 90%). Изолят протеина принимается людьми в первую очередь для достижения спортивных или фитнес-целей, таких как увеличение мышечной массы, восстановление после тренировок, сжигание жира или сбалансированное питание.</span></p>
<p style=""text-align:center""><span style=""font-size:16px"">По сравнению с другими протеинами, такими как концентрат протеина или изолят сывороточного протеина, изолят протеина отличается более высокой концентрацией белка и меньшим содержанием жиров и углеводов. Это делает его идеальным выбором для тех, кто стремится к увеличению мышечной массы и поддержанию оптимального питания, не жертвуя лишними калориями. Кроме того, изолят протеина обычно усваивается быстрее, что способствует более эффективному восстановлению и росту мышц.</span></p>";"<p style=""text-align:center""><span style=""font-size:16px"">Ізолят протеїну - це форма протеїнів, яка була оброблена з метою видалення з неї зайвих жирів і вуглеводів, таким чином, в продукті, що залишився, міститься висока концентрація білка (зазвичай більше 90%). Ізолят протеїну приймається людьми в першу чергу для досягнення спортивних або фітнес-цілей, таких як збільшення м&#39;язової маси, відновлення після тренувань, спалювання жиру або збалансоване харчування.</span></p>
<p style=""text-align:center""><span style=""font-size:16px"">Порівняно з іншими протеїнами, такими як концентрат протеїну або ізолят сироваткового протеїну, ізолят протеїну відрізняється більш високою концентрацією білка та меншим вмістом жирів та вуглеводів. Це робить його ідеальним вибором для тих, хто прагне збільшення м&#39;язової маси і підтримання оптимального харчування, не жертвуючи зайвими калоріями. Крім того, ізолят протеїну зазвичай засвоюється швидше, що сприяє більш ефективному відновленню та зростанню м&#39;язів.</span></p>";;;https://images.prom.ua/6061705385_izolyat-proteina.jpg
79059212;Соевый протеин;Соєвий протеїн;79059212;75771810;75771810;;;;;"<p style=""text-align:center""><span style=""font-size:16px"">Соевый протеин - это вид растительного протеина, получаемого из сои. Он содержит все необходимые аминокислоты, что делает его полноценным источником белка для вегетарианцев и веганов. Соевый протеин популярен среди людей, занимающихся фитнесом и спортом, так как он способствует росту и восстановлению мышц. Он также широко используется как альтернатива животным и молочным белкам для людей с непереносимостью лактозы или аллергией на молоко. Соевый протеин отличается от других видов протеинов тем, что он содержит изофлавоны, которые обладают антиоксидантными свойствами и могут оказывать благоприятное воздействие на сердечно-сосудистую систему. Кроме того, соевый протеин легко переваривается и усваивается организмом.</span></p>";"<p style=""text-align:center""><span style=""font-size:16px"">Соєвий протеїн &ndash; це вид рослинного протеїну, що отримується із сої. Він містить усі необхідні амінокислоти, що робить його повноцінним джерелом білка для вегетаріанців та веганів. Соєвий протеїн популярний серед людей, які займаються фітнесом та спортом, оскільки він сприяє зростанню та відновленню м&#39;язів. Він також широко використовується як альтернатива тваринам та молочним білкам для людей з непереносимістю лактози або алергією на молоко. Соєвий протеїн відрізняється від інших видів протеїнів тим, що він містить ізофлавони, які мають антиоксидантні властивості і можуть надавати сприятливий вплив на серцево-судинну систему. Крім того, соєвий протеїн легко перетравлюється та засвоюється організмом.</span></p>";;;https://images.prom.ua/3229383167_soevyj-protein.jpg
79060849;Растительный протеин;Рослинний протеїн;79060849;75771810;75771810;;;;;"<p style=""text-align:center""><span style=""font-size:16px"">Растительный протеин представляет собой белок, который получают из растительных источников, таких как соя, горох, гречиха, конопля и другие. Его принимают с целью получения необходимого количества белка в питании, особенно вегетарианцами и веганами, которые не употребляют продукты животного происхождения. Он отличается от животных протеинов тем, что содержит меньше насыщенных жиров и холестерина, а также обладает высоким содержанием клетчатки и антиоксидантов, что благоприятно влияет на пищеварение и общее здоровье. Растительный протеин также часто легче усваивается организмом и может быть более дружественным к окружающей среде, так как производство растительных белков обычно имеет более низкий углеродный след.</span></p>";"<p style=""text-align:center""><span style=""font-size:16px"">Рослинний протеїн є білок, який отримують з рослинних джерел, таких як соя, горох, гречка, коноплі та інші. Його приймають з метою отримання необхідної кількості білка у харчуванні, особливо вегетаріанцями та веганами, які не вживають продукти тваринного походження. Він відрізняється від тварин протеїнів тим, що містить менше насичених жирів та холестерину, а також має високий вміст клітковини та антиоксидантів, що сприятливо впливає на травлення та загальне здоров&#39;я. Рослинний протеїн також часто легше засвоюється організмом і може бути дружнішим до навколишнього середовища, оскільки виробництво рослинних білків зазвичай має нижчий вуглецевий слід.</span></p>";;;https://images.prom.ua/3229388690_rastitelnyj-protein.jpg
79060915;Гороховый;Гороховий;79060915;75771810;75771810;;;;;"<p style=""text-align:center""><span style=""font-size:16px"">Гороховый протеин - это растительный протеин, получаемый из зеленого гороха. Он содержит все необходимые аминокислоты, что делает его идеальным источником белка для веганов и вегетарианцев. Гороховый протеин принимают для различных целей, таких как увеличение мышечной массы, восстановление после тренировок, поддержание общего здоровья и сытость.</span></p>
<p style=""text-align:center""><span style=""font-size:16px"">По сравнению с другими протеинами, гороховый протеин имеет несколько отличительных особенностей. Во-первых, он содержит менее жира и углеводов, что делает его отличным выбором для тех, кто стремится к снижению веса. Во-вторых, гороховый протеин легче переваривается по сравнению с животными протеинами, что делает его идеальным выбором для людей с чувствительными желудками или непереносимостью лактозы.</span></p>
<p style=""text-align:center""><span style=""font-size:16px"">Кроме того, гороховый протеин часто содержит высокое количество аргинина, который помогает улучшить кровообращение и усилить физическую выносливость. В целом, гороховый протеин - отличный выбор для тех, кто хочет получить все преимущества протеина без использования продуктов животного происхождения.</span></p>";"<p style=""text-align:center""><span style=""font-size:16px"">Гороховий протеїн - це рослинний протеїн, що отримується із зеленого гороху. Він містить усі необхідні амінокислоти, що робить його ідеальним джерелом білка для веганів та вегетаріанців. Гороховий протеїн приймають для різних цілей, таких як збільшення м&#39;язової маси, відновлення після тренувань, підтримання загального здоров&#39;я та ситість.</span></p>
<p style=""text-align:center""><span style=""font-size:16px"">Порівняно з іншими протеїнами гороховий протеїн має кілька відмінних рис. По-перше, він містить менше жиру та вуглеводів, що робить його відмінним вибором для тих, хто прагне зниження ваги. По-друге, гороховий протеїн легше перетравлюється порівняно з тваринними протеїнами, що робить його ідеальним вибором для людей із чутливими шлунками або непереносимістю лактози.</span></p>
<p style=""text-align:center""><span style=""font-size:16px"">Крім того, гороховий протеїн часто містить високу кількість аргініну, який допомагає покращити кровообіг та посилити фізичну витривалість. В цілому, гороховий протеїн &ndash; відмінний вибір для тих, хто хоче отримати всі переваги протеїну без використання продуктів тваринного походження.</span></p>";;;https://images.prom.ua/6167713042_gorohovyj.jpg
79060920;Мицеллярный казеин;Міцелярний казеїн;79060920;75771810;75771810;;;;;"<p style=""text-align:center""><span style=""font-size:16px"">Мицеллярный казеин - это форма казеина, получаемая из молока. Его особенность заключается в том, что он находится в мицеллах, которые являются крупными белковыми структурами. Мицеллярный казеин обладает медленным синтезом, что делает его идеальным для употребления перед сном или во время длительных периодов голода.</span></p>
<p style=""text-align:center""><span style=""font-size:16px"">Этот вид казеина широко применяется спортсменами и людьми, ведущими здоровый образ жизни, для поддержания и роста мышц. Благодаря своему медленному усвоению, мицеллярный казеин обеспечивает постепенное поступление аминокислот в организм, что способствует улучшению восстановления и росту мышц.</span></p>
<p style=""text-align:center""><span style=""font-size:16px"">Отличительной особенностью мицеллярного казеина является его длительное усвоение организмом, что позволяет поддерживать активное мышечное синтез в течение длительного времени. Это отличает его от других протеинов, таких как сывороточный протеин, который усваивается быстрее и часто используется для быстрого восстановления после тренировок. Таким образом, мицеллярный казеин является отличным выбором для тех, кто стремится к постепенному и длительному поставлению белка в организм.</span></p>";"<p style=""text-align:center""><span style=""font-size:16px"">Міцелярний казеїн - це форма казеїну, яка отримується з молока. Його особливість полягає в тому, що він знаходиться в міцелах, які є великими структурами білків. Міцелярний казеїн має повільний синтез, що робить його ідеальним для вживання перед сном або під час тривалих періодів голоду.</span></p>
<p style=""text-align:center""><span style=""font-size:16px"">Цей вид казеїну широко застосовується спортсменами та людьми, які ведуть здоровий спосіб життя, для підтримки та зростання м&#39;язів. Завдяки своєму повільному засвоєнню, міцелярний казеїн забезпечує поступове надходження амінокислот до організму, що сприяє покращенню відновлення та зростання м&#39;язів.</span></p>
<p style=""text-align:center""><span style=""font-size:16px"">Відмінною особливістю міцелярного казеїну є його тривале засвоєння організмом, що дозволяє підтримувати активний м&#39;язовий синтез протягом тривалого часу. Це відрізняє його від інших протеїнів, таких як сироватковий протеїн, який засвоюється швидше і часто використовується для швидкого відновлення після тренувань. Таким чином, міцелярний казеїн є відмінним вибором для тих, хто прагне поступового та тривалого постачання білка в організм.</span></p>";;;https://images.prom.ua/3229402711_mitsellyarnyj-kazein.jpg
79061769;Аргинин;Аргінін;79061769;75756682;75756682;;;;;"<p style=""text-align:center""><span style=""font-size:16px"">Аминокислота аргинин является одной из важных аминокислот, необходимых для правильного функционирования организма. Она играет ключевую роль в создании белков, восстановлении тканей и иммунной системы. Аргинин помогает расширять сосуды и улучшает кровоснабжение, что может быть полезно при лечении сердечно-сосудистых заболеваний. Также аргинин принимают для улучшения спортивной выносливости и массы мышц, поскольку помогает увеличить кровоток к мышцам и способствует росту мышечной массы. Кроме того, аргинин используется как добавка для улучшения эректильной функции у мужчин, поскольку помогает улучшить кровоснабжение в области половых органов.</span></p>";"<p style=""text-align:center""><span style=""font-size:16px"">Амінокислота Аргінін є однією з важливих амінокислот, необхідних для правильного функціонування організму. Вона відіграє ключову роль у створенні білків, відновленні тканин та імунної системи. Аргінін допомагає розширювати судини та покращує кровопостачання, що може бути корисним при лікуванні серцево-судинних захворювань. Також аргінін приймають для покращення спортивної витривалості та маси м&#39;язів, оскільки допомагає збільшити кровотік до м&#39;язів та сприяє зростанню м&#39;язової маси. Крім того, аргінін використовується як добавка для покращення еректильної функції у чоловіків, оскільки допомагає покращити кровопостачання в ділянці статевих органів.</span></p>";;;https://images.prom.ua/3229461178_arginin.jpg
79061800;Глютамин;Глютамін;79061800;75756682;75756682;;;;;"<p style=""text-align:center""><span style=""font-size:16px"">Глютамин - это важная аминокислота, которая играет ключевую роль в организме. Она является одной из 20 аминокислот, из которых строятся белки. Глютамин является источником энергии для клеток кишечника, иммунной системы и других органов. Он также помогает восстанавливать и укреплять мышцы после физической нагрузки, что делает его популярным среди спортсменов и людей, занимающихся фитнесом. Кроме того, глютамин считается важным для здоровья кишечника, поскольку способствует заживлению его слизистой оболочки. Некоторые люди также принимают глютамин как дополнение для улучшения памяти и концентрации, а также для поддержания общего здоровья и иммунной системы.</span></p>";"<p style=""text-align:center""><span style=""font-size:16px"">Глютамін &ndash; це важлива амінокислота, яка відіграє ключову роль в організмі. Вона є однією з 20 амінокислот, у тому числі будуються білки. Глютамін є джерелом енергії для клітин кишечнику, імунної системи та інших органів. Він також допомагає відновлювати та зміцнювати м&#39;язи після фізичного навантаження, що робить його популярним серед спортсменів та людей, які займаються фітнесом. Крім того, глютамін вважається важливим для здоров&#39;я кишечника, оскільки сприяє загоєнню його слизової оболонки. Деякі люди також приймають глютамін як додаток для покращення пам&#39;яті та концентрації, а також для підтримки загального здоров&#39;я та імунної системи.</span></p>";;;https://images.prom.ua/3229458424_glyutamin.jpg
79061802;Аминокислотные комплексы;Амінокислотні комплекси;79061802;75756682;75756682;;;;;;;;;https://images.prom.ua/3229469471_aminokislotnye-kompleksy.jpg
79064198;Специализированные аминокислоты;Спеціалізовані амінокислоти;79064198;75756682;75756682;;;;;;;;;https://images.prom.ua/3229474268_spetsializirovannye-aminokisloty.jpg
79065884;ВСАА;ВСАА;79065884;136052686;136052686;;;;;"<p style=""text-align:center""><span style=""font-size:16px"">Аминокислоты BCAA (Branch Chain Amino Acids) представляют собой группу из трех важных аминокислот: лейцин, изолейцин и валин. Они считаются &laquo;важными&raquo;, потому что организм не может самостоятельно производить их, и они должны поступать извне с пищей или дополнениями. BCAA обладает рядом полезных свойств для организма. Во-первых, они играют важную роль в синтезе белка, что способствует росту и восстановлению мышц. Во-вторых, BCAA могут уменьшать усталость и повышать выносливость во время физических нагрузок. Также эти аминокислоты помогают снизить уровень кортизола, гормона стресса, что способствует более быстрому восстановлению после тренировок. BCAA также могут быть полезны при соблюдении диеты для похудения, поскольку они могут помочь сохранить мышечную массу во время дефицита калорий.</span></p>";"<p style=""text-align:center""><span style=""font-size:16px"">Амінокислоти BCAA (Branch Chain Amino Acids) є групою з трьох важливих амінокислот: лейцин, ізолейцин і валін. Вони вважаються &laquo;важливими&raquo;, тому що організм не може самостійно виробляти їх, і вони мають надходити ззовні з їжею чи доповненнями. BCAA має низку корисних властивостей для організму. По-перше, вони відіграють важливу роль у синтезі білка, що сприяє зростанню та відновленню м&#39;язів. По-друге, BCAA можуть зменшувати втому та підвищувати витривалість під час фізичних навантажень. Також ці амінокислоти допомагають знизити рівень кортизолу, гормону стресу, що сприяє швидшому відновленню після тренувань. BCAA також можуть бути корисними при дотриманні дієти для схуднення, оскільки вони можуть допомогти зберегти м&#39;язову масу під час дефіциту калорій.</span></p>";;;https://images.prom.ua/2136029270_vsaa.jpg
79065968;Витамины и минералы для спорта;Вітаміни та мінерали для спорту;79065968;136052686;136052686;;;;;;;;;https://images.prom.ua/2136036353_vitaminy-i-mineraly.jpg
81100566;Минералы для спорта;Мінерали для спорту;81100566;79065968;79065968;;;;;"<p style=""text-align:center""><span style=""font-size:16px"">Принятие минералов спортсменами имеет множество преимуществ. Во-первых, минералы помогают поддерживать электролитный баланс в организме, что особенно важно во время физических нагрузок. Кроме того, минералы играют важную роль в процессе синтеза белков и усвоении питательных веществ, улучшая спортивную выносливость и восстановление после тренировок. Недостаток минералов может привести к снижению иммунитета и ухудшению общего состояния здоровья, поэтому их прием рекомендуется для поддержания оптимального здоровья и спортивной формы.</span></p>";"<p style=""text-align:center""><span style=""font-size:16px"">Прийняття мінералів спортсменами має безліч переваг. По-перше, мінерали допомагають підтримувати електролітний баланс в організмі, що є особливо важливим під час фізичних навантажень. Крім того, мінерали відіграють важливу роль у процесі синтезу білків та засвоєнні поживних речовин, покращуючи спортивну витривалість та відновлення після тренувань. Нестача мінералів може призвести до зниження імунітету та погіршення загального стану здоров&#39;я, тому їх прийом рекомендується для підтримки оптимального здоров&#39;я та спортивної форми.</span></p>";;;https://images.prom.ua/3229479389_mineraly-dlya-sporta.jpg
